OBJECTID,CB_Link_ID,Boro,the_geom,Community,Latitude,Longitude,Constructi,Link_Insta,Smallest_P,Street_Add,Orientatio,Boro_ID,Construc_1,Link_Site
138,LINK-000555,Manhattan,POINT (-73.98359155443495 40.765513732409104),105,40.765522,-73.983593,Not Ready for CX,A - Link Live,122627,932 8 Avenue,285 W,NY-MN,03/14/2016 12:00:00 AM +0000,mn-05-122627
139,LINK-000556,Manhattan,POINT (-73.98385155467705 40.76559573211309),104,40.765604,-73.983853,Not Ready for CX,A - Link Live,122625,933 8 Avenue,128 SE,NY-MN,03/14/2016 12:00:00 AM +0000,mn-04-122625
140,LINK-000558,Manhattan,POINT (-73.98354755445524 40.766003731736525),104,40.766012,-73.983549,Not Ready for CX,A - Link Live,122623,947 8 Avenue,221 SW,NY-MN,03/04/2016 12:00:00 AM +0000,mn-04-122623
141,LINK-000560,Manhattan,POINT (-73.98752755487442 40.76056073366268),104,40.760569,-73.987529,Not Ready for CX,A - Link Live,139205,771 8 Avenue,49 NE,NY-MN,03/03/2016 12:00:00 AM +0000,mn-04-139205
142,LINK-000562,Manhattan,POINT (-73.98811655414393 40.759739733795165),104,40.759748,-73.988118,CX Complete / Link Installed,A - Link Live,122579,300 West 46Th St,90 E,NY-MN,03/05/2016 12:00:00 AM +0000,mn-04-122579
143,LINK-000563,Manhattan,POINT (-73.986157554597 40.7624237326602),104,40.762432,-73.986159,CX Complete / Link Installed,A - Link Live,142000,301 8 Avenue,88 E,NY-MN,04/10/2016 12:00:00 AM +0000,mn-04-142000
144,LINK-000566,Manhattan,POINT (-73.98683455490233 40.76088673376025),105,40.760895,-73.986836,CX Complete / Link Installed,A - Link Live,142002,782 8 Avenue,28 NE,NY-MN,03/10/2016 12:00:00 AM +0000,mn-05-142002
145,LINK-000567,Manhattan,POINT (-73.98660455538383 40.76180773333739),104,40.761816,-73.986606,CX Complete / Link Installed,A - Link Live,122598,825 8 Avenue,168 S,NY-MN,03/14/2016 12:00:00 AM +0000,mn-04-122598
146,LINK-000568,Manhattan,POINT (-73.9879735537951 40.759929733549946),104,40.759938,-73.987975,Not Ready for CX,A - Link Live,122580,739 8 Avenue,56 NE,NY-MN,07/12/2016 12:00:00 AM +0000,mn-04-122580
147,LINK-000569,Manhattan,POINT (-73.98777155450051 40.75964573362604),105,40.759654,-73.987773,CX Complete / Link Installed,A - Link Live,107819,740 8 Avenue,47 NE,NY-MN,03/10/2016 12:00:00 AM +0000,mn-05-107819
148,LINK-000824,Manhattan,POINT (-73.96580456118201 40.76208373265389),108,40.762092,-73.965806,Not Ready for CX,A - Link Live,121741,1011 3 AVENUE,122SE,NY-MN,02/20/2016 12:00:00 AM +0000,mn-08-121741
149,LINK-000825,Manhattan,POINT (-73.9654415609678 40.76288773244397),108,40.762896,-73.965443,Not Ready for CX,A - Link Live,134750,1031 3 AVENUE,295 NW,NY-MN,03/03/2016 12:00:00 AM +0000,mn-08-134750
150,LINK-000826,Manhattan,POINT (-73.9656515606943 40.76302873227948),108,40.763037,-73.965653,Not Ready for CX,A - Link Live,136989,1030 3 AVENUE,115 SE,NY-MN,02/27/2016 12:00:00 AM +0000,mn-08-136989
151,LINK-000834,Manhattan,POINT (-73.96252856180753 40.76730073074855),108,40.767309,-73.96253,Not Ready for CX,A - Link Live,120986,1172 3 AVENUE,74 E,NY-MN,04/06/2016 12:00:00 AM +0000,mn-08-120986
152,LINK-000835,Manhattan,POINT (-73.96230356164574 40.767222731356654),108,40.767231,-73.962305,Not Ready for CX,A - Link Live,120988,1175 3 AVENUE,308 NW,NY-MN,02/20/2016 12:00:00 AM +0000,mn-08-120988
153,LINK-000836,Manhattan,POINT (-73.96196956193297 40.767646730947305),108,40.767655,-73.961971,Not Ready for CX,A - Link Live,120983,1175 3 AVENUE,298 NW,NY-MN,02/20/2016 12:00:00 AM +0000,mn-08-120983
154,LINK-000837,Manhattan,POINT (-73.96225456180713 40.76784473107097),108,40.767853,-73.962256,Not Ready for CX,A - Link Live,120985,1180 3 AVENUE,27 NE,NY-MN,02/20/2016 12:00:00 AM +0000,mn-08-120985
155,LINK-000839,Manhattan,POINT (-73.96095056313864 40.76893473075183),108,40.768943,-73.960952,Not Ready for CX,A - Link Live,120995,200 E 71 ST,12 N,NY-MN,03/04/2016 12:00:00 AM +0000,mn-08-120995
156,LINK-000842,Manhattan,POINT (-73.96025256311866 40.77053673085747),108,40.770545,-73.960254,Not Ready for CX,A - Link Live,120990,1270 3 AVENUE,186 S,NY-MN,02/21/2016 12:00:00 AM +0000,mn-08-120990
157,LINK-000843,Manhattan,POINT (-73.95992656284048 40.77044773105101),108,40.770456,-73.959928,Not Ready for CX,A - Link Live,120991,1271 E 75ST,22 NE,NY-MN,02/20/2016 12:00:00 AM +0000,mn-08-120991
158,LINK-000849,Manhattan,POINT (-73.95869556257654 40.77213573003117),108,40.772144,-73.958697,Not Ready for CX,A - Link Live,128748,1325 3 AVENUE,289 W,NY-MN,02/28/2016 12:00:00 AM +0000,mn-08-128748
159,LINK-000850,Manhattan,POINT (-73.95853456263694 40.7723477298848),108,40.772356,-73.958536,Not Ready for CX,A - Link Live,120998,1329 3 AVENUE,311 NW,NY-MN,02/27/2016 12:00:00 AM +0000,mn-08-120998
160,LINK-000851,Manhattan,POINT (-73.95894656254312 40.77235673026053),108,40.772365,-73.958948,Not Ready for CX,A - Link Live,120999,1328 3 AVENUE,8 N,NY-MN,02/28/2016 12:00:00 AM +0000,mn-08-120999
161,LINK-000852,Manhattan,POINT (-73.9587675628133 40.77246972991254),108,40.772478,-73.958769,Not Ready for CX,A - Link Live,134742,1330 3 AVENUE,98 E,NY-MN,02/27/2016 12:00:00 AM +0000,mn-08-134742
162,LINK-000853,Manhattan,POINT (-73.95847256268601 40.772994729817306),108,40.773003,-73.958474,Not Ready for CX,A - Link Live,120997,176 E 77ST,27 NE,NY-MN,02/12/2016 12:00:00 AM +0000,mn-08-120997
163,LINK-000854,Manhattan,POINT (-73.95823356243206 40.772816730146964),108,40.772825,-73.958235,Not Ready for CX,A - Link Live,134739,1345 E 78ST,302 NW,NY-MN,04/10/2016 12:00:00 AM +0000,mn-08-134739
164,LINK-000857,Manhattan,POINT (-73.95796356307167 40.773718729742846),108,40.773727,-73.957965,Not Ready for CX,A - Link Live,121004,1374 3 AVENUE,197 S,NY-MN,03/01/2016 12:00:00 AM +0000,mn-08-121004
165,LINK-000858,Manhattan,POINT (-73.95749756357891 40.77419873035467),108,40.774207,-73.957499,Not Ready for CX,A - Link Live,121016,1388 3 AVENUE,112 E,NY-MN,03/01/2016 12:00:00 AM +0000,mn-08-121016
166,LINK-000860,Manhattan,POINT (-73.95708856274285 40.774341729903554),108,40.77435,-73.95709,Not Ready for CX,A - Link Live,121005,201 E 79ST,191 S,NY-MN,02/24/2016 12:00:00 AM +0000,mn-08-121005
167,LINK-000862,Manhattan,POINT (-73.95666356426005 40.77484673041482),108,40.774855,-73.956665,Not Ready for CX,A - Link Live,121015,1409 3 AVENUE,34 NE,NY-MN,02/12/2016 12:00:00 AM +0000,mn-08-121015
168,LINK-000864,Manhattan,POINT (-73.95593156442706 40.776358729080684),108,40.776367,-73.955933,Not Ready for CX,A - Link Live,121010,1450 3 AVENUE,125 SE,NY-MN,02/12/2016 12:00:00 AM +0000,mn-08-121010
169,LINK-000865,Manhattan,POINT (-73.95558456441708 40.77682472929125),108,40.776833,-73.955586,Not Ready for CX,A - Link Live,121023,1460 3 AVENUE,88 E,NY-MN,02/12/2016 12:00:00 AM +0000,mn-08-121023
170,LINK-000867,Manhattan,POINT (-73.95513756434488 40.77701172917829),108,40.77702,-73.955139,Not Ready for CX,A - Link Live,134740,1475 3 AVENUE,317 NW,NY-MN,03/01/2016 12:00:00 AM +0000,mn-08-134740
171,LINK-000868,Manhattan,POINT (-73.95475056346577 40.77755272941045),108,40.777561,-73.954752,Not Ready for CX,A - Link Live,121021,1495 3 AVENUE,327 NW,NY-MN,02/24/2016 12:00:00 AM +0000,mn-08-121021
172,LINK-000869,Manhattan,POINT (-73.95515156398123 40.77751972877752),108,40.777528,-73.955153,Not Ready for CX,A - Link Live,121020,1488 3 AVENUE,8 N,NY-MN,02/24/2016 12:00:00 AM +0000,mn-08-121020
173,LINK-000870,Manhattan,POINT (-73.9545395636959 40.77826372896388),108,40.778272,-73.954541,Not Ready for CX,A - Link Live,121017,1518 3 AVENUE,96 E,NY-MN,03/14/2016 12:00:00 AM +0000,mn-08-121017
174,LINK-000871,Manhattan,POINT (-73.95442656446514 40.77799472859228),108,40.778003,-73.954428,Not Ready for CX,A - Link Live,121019,1505 3 AVENUE,309 NW,NY-MN,03/14/2016 12:00:00 AM +0000,mn-08-121019
175,LINK-000877,Manhattan,POINT (-73.95398856440227 40.77859172895725),108,40.7786,-73.95399,Not Ready for CX,A - Link Live,107963,200 E 86ST,297 NW,NY-MN,02/24/2016 12:00:00 AM +0000,mn-08-107963
176,LINK-000878,Manhattan,POINT (-73.95371556459123 40.77859472906342),108,40.778603,-73.953717,Not Ready for CX,A - Link Live,134748,200 E 86ST,20 N,NY-MN,02/16/2016 12:00:00 AM +0000,mn-08-134748
177,LINK-000879,Manhattan,POINT (-73.95366156395235 40.778783729091955),108,40.778792,-73.953663,Not Ready for CX,A - Link Live,133368,1529 3 AVENUE,209 SW,NY-MN,04/06/2016 12:00:00 AM +0000,mn-08-133368
178,LINK-000880,Manhattan,POINT (-73.95397856443999 40.77902972926109),108,40.779038,-73.95398,Not Ready for CX,A - Link Live,119826,179 E 86ST,144 SE,NY-MN,03/01/2016 12:00:00 AM +0000,mn-08-119826
