Date_Received,Appl_Type,CBLinkID,kiosktype,Latitude,Longitude,Borough,ZoningNumb,CB,Building_Number,Street_Name,Cross_Street 1,Cross_Street 2,LinkInHist,Landmark_Name,PavementTy,LinkInBID,BID_Name,permit_app,company_na,LinkInSADName,LinkInSAD,Location 1
08/22/2016,new site,LINK-018099,advertising unit,40.681852999999997,-73.958534999999998,Brooklyn,C2-4/R7A,8,634,FRANKLIN AVENUE,BERGEN STREET,ST MARKS AVENUE,NONE,,ST MARKS AVENUE,YES,Bed-Stuy GatewayBID,81509,CityBridge LLC,,,"(40.681852999999997, -73.958534999999998)"
08/22/2016,new site,LINK-018100,advertising unit,40.681316000000002,-73.956200999999993,Brooklyn,C2-4/R7D,3,549,CLASSON AVENUE,PUTNAM AVENUE,FULTON STREET,NONE,,FULTON STREET,YES,Bed-Stuy GatewayBID,81510,CityBridge LLC,,,"(40.681316000000002, -73.956200999999993)"
08/22/2016,new site,LINK-018101,advertising unit,40.679506000000003,-73.955431000000004,Brooklyn,C1-3/R6,3,1139,FULTON STREET,CLAVER PLACE,FRANKLIN AVENUE,NONE,,FRANKLIN AVENUE,NO,,81511,CityBridge LLC,,,"(40.679506000000003, -73.955431000000004)"
08/22/2016,new site,LINK-018103,advertising unit,40.679986999999997,-73.949472999999998,Brooklyn,M1-1,3,560,FRANKLIN AVENUE,BREVOORT PLACE,ATLANTIC AVENUE,NONE,,ATLANTIC AVENUE,YES,Flatbush AvenueBID,81513,CityBridge LLC,,,"(40.679986999999997, -73.949472999999998)"
08/22/2016,new site,LINK-018105,advertising unit,40.680444999999999,-73.949403000000004,Brooklyn,C4-5D,3,505,NOSTRAND AVENUE,FULTON STREET,HERKIMER STREET,NONE,,HERKIMER STREET,YES,Bed-Stuy GatewayBID,81515,CityBridge LLC,,,"(40.680444999999999, -73.949403000000004)"
08/22/2016,new site,LINK-018106,advertising unit,40.680444999999999,-73.949403000000004,Brooklyn,C4-5D,3,1295,FULTON STREET,NOSTRAND AVENUE,VERONA PLACE,NONE,,VERONA PLACE,YES,Bed-Stuy GatewayBID,81516,CityBridge LLC,,,"(40.680444999999999, -73.949403000000004)"
08/22/2016,new site,LINK-018107,advertising unit,40.680185999999999,-73.944903999999994,Brooklyn,C2-4/R7D,3,1313,FULTON STREET,NOSTRAND AVENUE,VERONA PLACE,NONE,,VERONA PLACE,YES,Bed-Stuy GatewayBID,81517,CityBridge LLC,,,"(40.680185999999999, -73.944903999999994)"
08/22/2016,new site,LINK-018108,advertising unit,40.680059,-73.942260000000005,Brooklyn,C4-5D,3,1,NEW YORK AVENUE,FULTON STREET,HERKIMER STREET,NONE,,HERKIMER STREET,YES,Bed-Stuy GatewayBID,81518,CityBridge LLC,,,"(40.680059, -73.942260000000005)"
08/22/2016,new site,LINK-018110,advertising unit,40.680011,-73.941353000000007,Brooklyn,C2-4/R7D,3,1409,FULTON STREET,MARCY AVENUE,BROOKLYN AVENUE,NONE,,BROOKLYN AVENUE,YES,Bed-Stuy GatewayBID,81520,CityBridge LLC,,,"(40.680011, -73.941353000000007)"
08/22/2016,new site,LINK-018111,advertising unit,40.679594000000002,-73.941171999999995,Brooklyn,C2-4/R6A,3,1473,FULTON STREET,TOMPKINS AVENUE,KINGSTON AVENUE,NONE,,KINGSTON AVENUE,YES,Bed-Stuy GatewayBID,81521,CityBridge LLC,,,"(40.679594000000002, -73.941171999999995)"
